cluster_id,i,j,distance
0,251,986,0.03743887038658256
1,599,671,0.033387613708268704
2,85,457,0.03704489592406446
3,532,991,0.08825345547300167
4,589,805,0.040512842970913954
5,535,949,0.039699433141332285
6,106,673,0.049872843999026806
7,846,897,0.0377617631911924
8,327,984,0.03874306432483965
9,380,812,0.03847643966836911
11,590,893,0.03724451716144017
12,311,461,0.03568395778358713
13,28,97,0.04027892894165408
14,493,802,0.04624702551475912
15,126,474,0.03790664095960017
16,297,543,0.03878362868907026
17,66,735,0.03891780747775575
18,231,621,0.037750719098071595
19,228,546,0.04094068746743196
20,105,153,0.03902778354279257
21,585,798,0.04079388216307467
22,179,419,0.03516931662321365
23,71,833,0.035468603897793494
24,553,733,0.04137086699436876
25,247,730,0.039510776085221244
26,409,571,0.08972329800310352
27,379,826,0.03794862416767675
28,145,361,0.055519551959217095
29,0,924,0.03243923459267317
30,24,195,0.04009640658776625
31,423,795,0.0376042345740647
32,303,342,0.03893591641415073
33,420,507,0.042934582738835214
34,609,972,0.03675624349100781
35,197,275,0.03450157642470553
37,415,658,0.04019509908846297
38,76,634,0.03742168968957715
39,21,834,0.039140253499017286
40,204,354,0.03806012196658004
41,174,963,0.04254695364764016
42,27,978,0.038785501657009114
43,471,702,0.03794037622487323
44,78,141,0.038914876294343204
